😀 grinning
😃 smiley
😄 smile
😁 grin
😆 laughing
😅 sweat_smile
🤣 rofl
😂 joy
🙂 slightly_smiling_face
🙃 upside_down
😉 wink
😊 blush
😇 innocent
🥰 smiling_face_with_3_hearts
😍 heart_eyes
🤩 star_struck
😘 kissing_heart
😗 kissing
☺️ relaxed
😚 kissing_closed_eyes
😙 kissing_smiling_eyes
😋 yum
😛 stuck_out_tongue
😜 stuck_out_tongue_winking_eye
😝 stuck_out_tongue_closed_eyes
🤑 money_mouth
🤗 hugging
🤭 hand_over_mouth
🤫 shushing_face
🤔 thinking
🤐 zipper_mouth
🤨 raised_eyebrow
😐 neutral_face
😑 expressionless
😶 no_mouth
😏 smirk
😒 unamused
🙄 roll_eyes
😬 grimacing
🤥 lying_face
😌 relieved
😔 pensive
😪 sleepy
🤤 drooling_face
😴 sleeping
😷 mask
🤒 face_with_thermometer
🤕 face_with_head_bandage
🤢 nauseated_face
🤮 vomiting_face
🤧 sneezing_face
🥵 hot_face
🥶 cold_face
🥴 woozy_face
😵 dizzy_face
🤯 exploding_head
😕 confused
😟 worried
🙁 slightly_frowning_face
☹️ frowning_face
😮 open_mouth
😯 hushed
😲 astonished
😳 flushed
🥺 pleading_face
😦 frowning
😧 anguished
😨 fearful
😰 cold_sweat
😥 disappointed_relieved
😢 cry
😭 sob
😱 scream
😖 confounded
😣 persevere
😞 disappointed
😓 sweat
😩 weary
😫 tired_face
🥱 yawning_face
😤 triumph
😡 rage
😠 angry
🤬 face_with_symbols_over_mouth
😈 smiling_imp
👿 imp
💀 skull
☠️ skull_crossbones
💩 poop
🤡 clown
👹 japanese_ogre
👺 japanese_goblin
👻 ghost
👽 alien
👾 space_invader
🤖 robot
😺 smiley_cat
😸 smile_cat
😹 joy_cat
😻 heart_eyes_cat
😼 smirk_cat
😽 kissing_cat
🙀 scream_cat
😿 crying_cat_face
😾 pouting_cat
👋 wave
🤚 raised_back_of_hand
🖐️ hand_splayed
✋ raised_hand
🖖 vulcan
👌 ok_hand
🤌 pinched_fingers
🤏 pinching_hand
✌️ v
🤞 crossed_fingers
🤟 love_you_gesture
🤘 metal
🤙 call_me
👈 point_left
👉 point_right
👆 point_up_2
👇 point_down
☝️ point_up
👍 thumbsup
👎 thumbsdown
✊ fist
👊 punch
🤛 left_facing_fist
🤜 right_facing_fist
👏 clap
🙌 raised_hands
👐 open_hands
🤲 palms_up_together
🤝 handshake
🙏 pray
💪 muscle
🦾 mechanical_arm
🦿 mechanical_leg
🦵 leg
🦶 foot
👂 ear
🦻 ear_with_hearing_aid
👃 nose
🧠 brain
🫀 anatomical_heart
🫁 lungs
🦷 tooth
🦴 bone
👀 eyes
👁️ eye
👅 tongue
👄 lips
❤️ heart
🧡 orange_heart
💛 yellow_heart
💚 green_heart
💙 blue_heart
💜 purple_heart
🤎 brown_heart
🖤 black_heart
🤍 white_heart
💔 broken_heart
❣️ heart_exclamation
💕 two_hearts
💞 revolving_hearts
💓 heartbeat
💗 heartpulse
💖 sparkling_heart
💘 cupid
💝 gift_heart
💟 heart_decoration
💋 kiss
💯 100
💢 anger
💥 boom
💫 dizzy
💦 sweat_drops
💨 dash
🕳️ hole
💣 bomb
💬 speech_balloon
🗨️ left_speech_bubble
🗯️ right_anger_bubble
💭 thought_balloon
💤 zzz
🔥 fire
✨ sparkles
⭐ star
🌟 star2
🌠 shooting_star
⚡ zap
☄️ comet
🎉 tada
🎊 confetti_ball
🎈 balloon
🎁 gift
🎂 birthday
🧁 cupcake
🍰 cake
🍕 pizza
🍔 hamburger
🍟 fries
🌭 hotdog
🌮 taco
🌯 burrito
🥪 sandwich
🍿 popcorn
🍩 doughnut
🍪 cookie
🍫 chocolate_bar
🍬 candy
🍭 lollipop
🍎 apple
🍏 green_apple
🍐 pear
🍊 tangerine
🍋 lemon
🍌 banana
🍉 watermelon
🍇 grapes
🍓 strawberry
🫐 blueberries
🍒 cherries
🍑 peach
🥭 mango
🍍 pineapple
🥥 coconut
🥝 kiwi
🥑 avocado
☕ coffee
🍵 tea
🥛 milk_glass
🥤 cup_with_straw
🍺 beer
🍻 beers
🍷 wine_glass
🍸 cocktail
🥂 clinking_glasses
🍾 champagne
⚽ soccer
🏀 basketball
🏈 football
⚾ baseball
🥎 softball
🎾 tennis
🏐 volleyball
🏉 rugby_football
🎱 8ball
🏓 ping_pong
🏸 badminton
🥅 goal
🥊 boxing_glove
🥋 martial_arts_uniform
🏆 trophy
🥇 first_place
🥈 second_place
🥉 third_place
🎖️ medal
🏅 sports_medal
🚀 rocket
✈️ airplane
🛸 flying_saucer
🚁 helicopter
🚗 car
🚕 taxi
🚌 bus
🚓 police_car
🚑 ambulance
🚒 fire_engine
🏎️ racing_car
🚚 truck
🚜 tractor
🏍️ motorcycle
🚲 bicycle
🛴 scooter
🚆 train
🚇 metro
🚄 bullettrain_side
🚢 ship
⛵ sailboat
⚓ anchor
🏠 house
🏡 house_with_garden
🏢 office
🏣 post_office
🏥 hospital
🏦 bank
🏫 school
🏭 factory
🏰 european_castle
🏟️ stadium
🗽 statue_of_liberty
🗼 tokyo_tower
🗿 moyai
📱 iphone
☎️ telephone
📞 calling
💻 computer
🖥️ desktop
⌨️ keyboard
🖱️ computer_mouse
🖨️ printer
📷 camera
📸 camera_flash
📹 video_camera
📺 tv
📻 radio
🎥 movie_camera
🎮 video_game
🕹️ joystick
🎧 headphones
🎤 microphone
🎵 musical_note
🎶 notes
📢 loudspeaker
🔔 bell
📣 mega
⏰ alarm_clock
⌚ watch
📅 calendar
📆 date
📌 pushpin
📍 round_pushpin
✏️ pencil2
🖊️ pen
📝 memo
📖 book
📚 books
📰 newspaper
📎 paperclip
✂️ scissors
🔒 lock
🔓 unlock
🔑 key
🗝️ old_key
🔨 hammer
⛏️ pick
⚒️ hammer_and_pick
🛠️ tools
🔧 wrench
⚙️ gear
🧰 toolbox
💡 bulb
🔦 flashlight
🔍 mag
🔎 mag_right
💰 moneybag
💵 dollar
💴 yen
💶 euro
💷 pound
💳 credit_card
💎 gem
🐶 dog
🐱 cat
🐭 mouse
🐹 hamster
🐰 rabbit
🦊 fox
🐻 bear
🐼 panda_face
🐨 koala
🐯 tiger
🦁 lion
🐮 cow
🐷 pig
🐸 frog
🐵 monkey_face
🐔 chicken
🐧 penguin
🐦 bird
🐤 baby_chick
🦆 duck
🦅 eagle
🦉 owl
🦇 bat
🐺 wolf
🦄 unicorn
🐝 bee
🪲 beetle
🦋 butterfly
🐌 snail
🕷️ spider
🦂 scorpion
🐢 turtle
🐍 snake
🦎 lizard
🦖 t_rex
🦕 sauropod
🐙 octopus
🦑 squid
🦐 shrimp
🦞 lobster
🦀 crab
🐡 blowfish
🐠 tropical_fish
🐟 fish
🐬 dolphin
🐳 whale
🦈 shark
☀️ sunny
🌤️ sun_small_cloud
⛅ partly_sunny
☁️ cloud
🌧️ cloud_rain
⛈️ cloud_lightning
🌩️ lightning
❄️ snowflake
☃️ snowman
☔ umbrella
🌪️ tornado
🌈 rainbow
🌍 earth_africa
🌎 earth_americas
🌏 earth_asia
🌕 full_moon
🌖 waning_gibbous_moon
🌗 last_quarter_moon
🌘 waning_crescent_moon
🌑 new_moon
🌒 waxing_crescent_moon
🌓 first_quarter_moon
🌔 waxing_gibbous_moon
🌙 crescent_moon
🟢 green_circle
🔵 blue_circle
🔴 red_circle
🟡 yellow_circle
🟣 purple_circle
🟤 brown_circle
⚫ black_circle
⚪ white_circle
🟩 green_square
🟦 blue_square
🟥 red_square
🟨 yellow_square
🟪 purple_square
🟫 brown_square
⬛ black_large_square
⬜ white_large_square
✅ white_check_mark
☑️ ballot_box_with_check
✔️ heavy_check_mark
❌ x
❎ negative_squared_cross_mark
➕ heavy_plus_sign
➖ heavy_minus_sign
➗ heavy_division_sign
✖️ heavy_multiplication_x
⚠️ warning
🚫 no_entry
⛔ no_entry_sign
🔞 underage
📛 name_badge
